,drug vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
34,0 1 0 0 0 1 0,0.5,0.5,9.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
35,0 1 0 0 0 1 1,0.5,0.5,9.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
36,0 1 0 0 1 0 0,1.5,1.5,9.5,9.5,1.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,7.5,7.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
37,0 1 0 0 1 0 1,0.5,0.5,9.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
38,0 1 0 0 1 1 0,0.5,0.5,9.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
39,0 1 0 0 1 1 1,0.5,0.5,9.5,9.5,0.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
40,0 1 0 1 0 0 0,1.5,1.5,3.5,3.5,1.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
41,0 1 0 1 0 0 1,0.5,0.5,1.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,1.5,1.5,0.5,0.5,1.0,1.0,1.0
42,0 1 0 1 0 1 0,0.5,0.5,1.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
43,0 1 0 1 0 1 1,0.5,0.5,1.5,1.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.5,0.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
44,0 1 0 1 1 0 0,1.5,1.5,3.5,3.5,1.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.5,7.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
